,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square,in_diss
852,218636.0,82.1,5.0,30.351684,59.924167,2.78,41.0,172007.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
853,223237.0,82.2,13.0,30.41594,59.847268,11.01,41.0,156152.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
855,364952.0,82.2,16.0,30.418851,59.970303,10.37,23.0,213379.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
856,306897.0,82.24,9.0,30.404316,59.938175,8.57,17.0,191162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
857,425274.0,82.3,25.0,30.426684,59.902826,11.2,28.0,142800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
858,387879.0,82.5,6.0,30.35693,59.953822,3.44,38.0,164944.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
859,198916.0,82.95,18.0,30.15083,59.793487,20.49,18.0,142589.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
860,235000.0,82.99,5.0,30.387724,60.026051,8.34,50.0,193979.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
861,307229.0,83.0,5.0,30.437455,59.880356,12.64,25.0,193979.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
862,300000.0,83.0,10.0,30.341533,59.966953,2.29,56.0,163912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
863,447848.0,83.0,11.0,30.322264,59.981276,2.42,115.0,160214.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
865,198796.0,83.0,25.0,30.377618,59.802418,9.1,22.0,124809.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
866,263856.0,83.0,25.0,30.452511,59.861711,14.55,25.0,124809.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
870,332895.0,83.8,1.0,30.245728,59.962048,9.16,41.0,129178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
871,321429.0,84.0,15.0,30.103587,59.843326,25.12,23.0,173105.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
872,305615.0,84.01,1.0,30.35128,59.967502,3.16,57.0,129178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
873,450000.0,84.02,11.0,30.338083,59.880582,3.1,19.0,168308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
874,100592.0,84.5,1.0,30.297354,59.856795,5.15,39.0,129178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
883,195000.0,85.2,25.0,30.479038,60.008378,17.4,32.0,124249.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
885,169474.0,85.5,5.0,30.29739,59.95402,3.45,48.0,152800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
887,164336.0,85.8,1.0,30.32221,59.916649,1.12,36.0,129178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
890,261628.0,86.0,4.0,30.087049,59.849609,26.9,12.0,156000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
891,166280.0,86.0,5.0,30.268482,59.937675,6.54,27.0,152800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
897,166474.0,86.2,1.0,30.346276,59.932374,2.12,31.0,136178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
900,277137.0,86.6,9.0,30.248189,59.936846,8.79,49.0,135650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
901,222756.0,87.0,13.0,30.336987,60.029162,4.99,58.0,179038.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
902,339081.0,87.0,24.0,30.344947,59.906359,2.49,71.0,139870.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
903,309989.0,87.1,5.0,30.373612,59.936589,5.15,42.0,181800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
904,234554.0,87.4,27.0,30.311826,60.069068,7.0,57.0,167220.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
905,285063.0,87.7,1.0,30.373612,59.936589,5.15,42.0,116178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
906,142370.0,87.8,5.0,30.167826,59.830572,18.29,38.0,248999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
909,323000.0,88.1,10.0,30.432721,59.883137,12.09,24.0,183510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
912,299726.0,88.35,1.0,30.35128,59.967502,3.16,57.0,126580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
