,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps,metro_1km,metro_5km,metro_10km
44,269541.8,12.0,1.0,30.305124,59.949596,2.56,42.0,20000.0,274.5,272.82,270.86,269.79,269.16,267.62,267.02,266.55,266.04,265.37,264.81,263.93,263.39,262.35,261.27,259.9,0,28,53
45,266394.0,12.2,18.0,30.199994,59.860161,14.55,27.0,43216.2,267.8,270.53,273.27,275.56,276.25,278.64,278.89,278.73,278.83,279.26,280.42,282.11,283.14,284.95,287.01,288.7,0,2,12
46,300903.4,12.5,1.0,30.371653,59.812193,8.25,33.0,50000.0,259.19,262.02,264.8,267.28,267.95,270.46,270.61,270.28,270.28,270.63,271.88,273.71,274.84,276.8,279.12,280.86,0,7,40
47,260000.0,12.84,5.0,30.387724,60.026051,8.34,50.0,43011.0,235.21,237.49,239.41,242.01,242.3,244.41,243.87,242.76,242.11,241.85,243.11,244.94,246.1,248.01,250.57,251.7,0,4,40
48,249949.8,13.0,1.0,30.302825,59.921651,2.81,67.0,35000.0,258.93,256.55,254.04,252.2,251.51,249.39,248.99,248.88,248.59,248.03,247.1,245.72,244.86,243.32,241.58,239.96,1,26,54
49,307693.0,13.0,1.0,30.32893,59.915143,1.06,38.0,29300.0,339.1,341.98,344.71,347.42,348.07,348.01,347.9,347.48,346.76,346.05,345.8,344.63,343.65,341.74,339.27,337.53,2,33,56
50,346154.0,13.0,3.0,30.339143,59.924325,1.44,65.0,60628.0,278.24,280.69,282.79,285.47,285.82,288.04,287.55,286.46,285.85,285.62,286.91,288.78,289.95,291.9,294.49,295.64,3,31,57
51,396154.0,13.0,5.0,30.359077,59.928843,3.55,34.0,313300.0,173.06,171.87,171.09,169.26,169.28,168.07,168.81,170.02,170.81,171.34,170.45,169.16,168.34,167.02,165.1,164.6,4,29,54
52,234616.0,13.0,9.0,30.376477,59.856176,6.94,83.0,35614.0,270.82,269.71,268.24,267.78,267.24,266.19,265.49,264.79,264.15,263.44,263.17,262.71,262.42,261.8,261.28,260.17,1,13,45
53,249444.8,13.3,2.0,30.30834,59.915585,2.33,71.0,20000.0,243.74,245.97,248.34,249.87,250.54,252.38,252.9,253.2,253.6,254.22,254.98,256.1,256.78,257.98,259.19,260.58,0,26,54
54,245074.2,13.3,6.0,30.245566,59.963066,9.18,40.0,93100.0,220.16,220.61,221.39,220.97,221.34,221.5,222.29,223.29,224.07,224.77,224.55,224.24,224.01,223.71,222.99,223.34,0,11,33
55,308089.0,13.6,5.0,30.411206,59.871997,9.97,31.0,312500.0,76.58,76.66,76.44,77.46,77.23,77.71,76.91,75.77,74.95,74.31,74.88,75.72,76.28,77.18,78.67,78.87,0,12,37
56,261134.2,14.0,1.0,30.207648,60.034474,14.03,23.0,70000.0,273.1,275.91,278.49,281.31,281.84,284.4,284.17,283.34,282.96,282.98,284.37,286.42,287.69,289.86,292.62,294.21,0,3,14
57,277031.6,14.0,1.0,30.270243,59.838475,7.9,24.0,60000.0,282.33,284.96,287.3,290.07,290.5,292.89,292.5,291.5,290.97,290.83,292.18,294.15,295.38,297.45,300.15,301.49,1,7,38
58,300000.0,14.0,1.0,30.286619,59.926706,4.54,76.0,62400.0,48.03,45.42,43.14,40.38,39.98,37.65,38.09,39.14,39.71,39.91,38.59,36.68,35.49,33.51,30.9,29.74,0,26,51
59,261134.2,14.0,2.0,30.475319,59.966241,16.56,23.0,19600.0,137.62,134.76,131.98,129.38,128.72,126.15,126.09,126.53,126.61,126.32,125.02,123.11,121.92,119.88,117.4,115.65,0,3,12
60,186677.0,14.2,3.0,30.285451,59.898449,5.0,44.0,47220.0,97.09,94.51,92.23,89.47,89.05,86.68,87.09,88.09,88.63,88.76,87.41,85.44,84.2,82.13,79.41,78.04,0,24,50
61,249896.8,14.84,7.0,30.469489,59.952006,15.84,23.0,48081.0,212.72,210.02,207.31,205.04,204.35,201.96,201.71,201.86,201.74,201.29,200.16,198.49,197.46,195.65,193.53,191.82,0,3,16
62,249949.8,15.0,1.0,30.291066,59.957575,4.17,69.0,45000.0,28.94,27.08,25.16,24.47,23.92,23.03,22.29,21.51,20.85,20.13,19.95,19.83,19.89,20.06,20.92,20.82,2,25,52
63,253334.0,15.0,1.0,30.350274,59.916618,2.74,56.0,29439.0,175.2,176.4,177.2,179.04,179.02,180.25,179.5,178.3,177.5,176.98,177.88,179.17,180.0,181.33,183.26,183.77,5,32,54
64,256618.0,15.0,1.0,30.405978,59.719555,14.78,21.0,55000.0,266.52,268.68,270.98,272.39,273.05,274.77,275.33,275.7,276.14,276.77,277.47,278.48,279.08,280.14,281.12,282.4,0,0,7
65,276864.8,15.0,1.0,30.464414,59.864643,15.79,32.0,25000.0,101.09,103.97,106.71,109.44,110.05,112.66,112.6,112.01,111.82,112.03,113.38,115.37,116.61,118.74,121.36,123.09,1,8,15
66,170000.0,15.0,1.0,30.482389,59.885973,17.49,30.0,27470.0,65.32,63.16,61.4,58.93,58.7,56.79,57.4,58.56,59.27,59.63,58.47,56.79,55.75,54.05,51.74,50.92,0,6,12
67,186000.0,15.0,6.0,30.311278,59.911475,2.16,57.0,33639.0,217.54,220.31,222.85,225.66,226.18,228.72,228.47,227.63,227.24,227.26,228.65,230.69,231.97,234.14,236.9,238.49,3,27,55
68,237180.0,15.6,13.0,30.251845,60.015404,9.21,120.0,29828.0,134.31,137.18,139.91,142.65,143.26,145.87,145.8,145.19,144.98,145.18,146.54,148.53,149.78,151.91,154.56,156.28,1,6,34
69,213542.2,16.0,25.0,30.368455,60.046571,7.51,50.0,26000.0,308.13,310.92,313.68,316.03,316.72,319.13,319.37,319.16,319.21,319.6,320.81,322.56,323.63,325.44,327.44,329.1,0,7,41
70,303031.6,16.0,1.0,30.282154,59.850156,6.54,27.0,12000.0,202.15,201.47,200.43,200.53,200.08,199.58,198.81,197.91,197.18,196.46,196.48,196.49,196.51,196.44,196.66,195.98,0,13,46
71,299968.6,17.0,1.0,29.999796,60.027269,36.52,7.0,16000.0,108.19,105.35,102.7,99.91,99.34,96.75,96.92,97.67,97.98,97.89,96.5,94.47,93.19,91.02,88.29,86.63,0,0,0
72,264706.0,17.0,1.0,30.288919,59.921615,4.32,67.0,36628.0,103.84,100.96,98.22,95.49,94.87,92.27,92.32,92.92,93.12,92.93,91.57,89.57,88.33,86.19,83.56,81.83,0,26,50
73,261134.2,17.0,2.0,30.439773,59.959683,12.58,25.0,17000.0,233.78,232.0,230.57,228.25,228.08,226.28,226.91,228.09,228.8,229.16,228.0,226.3,225.23,223.45,221.01,220.0,0,4,26
74,306551.0,17.0,1.0,30.346276,59.932374,2.12,31.0,30000.0,232.32,234.39,236.08,238.54,238.77,240.69,240.09,238.93,238.23,237.9,239.08,240.81,241.9,243.68,246.11,247.08,2,32,55
75,221256.0,17.4,6.0,30.453724,59.900669,14.2,38.0,29580.0,275.92,278.64,281.09,283.89,284.37,286.84,286.52,285.59,285.12,285.05,286.43,288.44,289.7,291.83,294.58,296.04,0,7,20
76,350197.0,17.79,19.0,30.184849,59.942245,15.84,15.0,50440.0,192.53,192.05,191.96,190.71,190.9,190.27,191.07,192.22,193.04,193.67,193.05,192.17,191.6,190.71,189.28,189.16,0,2,9
77,247449.8,17.8,3.0,30.314054,59.847797,4.7,65.0,23140.0,66.78,64.08,61.66,58.86,58.39,55.94,56.29,57.23,57.72,57.81,56.44,54.44,53.18,51.08,48.34,46.91,1,16,52
78,255368.6,17.8,11.0,30.263568,60.004307,7.83,112.0,26700.0,283.15,285.91,288.42,291.24,291.74,294.25,293.96,293.06,292.62,292.59,293.97,296.0,297.27,299.41,302.17,303.67,1,10,40
79,260967.4,18.0,1.0,30.480889,59.9229,17.1,31.0,50000.0,53.87,50.99,48.27,45.52,44.91,42.31,42.39,43.05,43.3,43.16,41.79,39.76,38.5,36.34,33.65,31.95,0,4,13
80,228474.0,18.0,2.0,30.187679,59.942065,15.53,20.0,50000.0,147.35,149.92,152.54,154.6,155.29,157.54,157.88,157.87,158.09,158.6,159.62,161.14,162.08,163.75,165.64,167.29,0,2,11
81,225098.0,18.0,2.0,30.359041,59.808794,7.59,19.0,198000.0,311.18,314.02,316.65,319.45,320.0,322.57,322.36,321.54,321.14,321.15,322.54,324.57,325.85,328.0,330.76,332.29,0,7,39
82,316667.0,18.0,4.0,30.103452,59.836486,25.18,23.0,45536.2,127.85,130.52,133.21,135.42,136.12,138.47,138.75,138.63,138.78,139.25,140.35,141.98,142.99,144.77,146.84,148.54,0,0,0
83,188334.0,18.0,6.0,30.355502,59.936819,3.14,22.0,85664.0,236.74,234.61,232.82,230.27,229.99,227.92,228.46,229.58,230.22,230.48,229.21,227.35,226.18,224.23,221.62,220.4,5,29,53
84,138889.0,18.0,8.0,30.314296,59.912774,1.85,61.0,37958.0,295.47,297.38,298.81,301.06,301.18,302.76,302.07,300.87,300.11,299.65,300.66,302.09,302.98,304.37,306.31,306.75,5,31,55
85,202778.0,18.0,20.0,30.351316,60.078365,7.99,30.0,51000.0,284.48,286.88,288.92,291.57,291.89,294.05,293.53,292.42,291.78,291.52,292.78,294.61,295.75,297.64,300.17,301.23,0,5,37
86,247668.6,18.1,25.0,30.230627,59.938257,10.75,59.0,70000.0,83.04,80.75,78.84,76.25,75.96,73.89,74.44,75.57,76.23,76.51,75.27,73.48,72.35,70.49,67.99,66.94,1,9,26
87,301887.0,18.55,12.0,30.312446,59.902154,2.36,67.0,45758.0,298.23,296.86,295.11,294.28,293.68,292.28,291.65,291.11,290.55,289.86,289.39,288.64,288.15,287.2,286.2,284.86,3,27,55
