,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population,mean_distr_pps,pub_trans_1km
159,297946.0,146.0,14.0,30.41594,59.847268,11.01,41.0,297920.0,413983,257039.7413333333,34.0
160,334928.0,72.0,25.0,30.220988,59.861503,12.3,36.0,141570.0,431546,252564.08800000005,44.0
161,216473.0,73.0,25.0,30.449376,60.002517,14.11,10.0,126540.0,366971,234417.04901960783,5.0
162,254879.0,82.0,25.0,30.225039,60.035495,12.27,68.0,188429.4,699243,270866.037,38.0
163,222756.0,87.0,13.0,30.336987,60.029162,4.99,58.0,117896.0,541590,234626.65405405403,42.0
164,287064.0,89.0,16.0,30.258906,60.070796,10.0,12.0,157400.0,541590,234626.65405405403,12.0
165,258823.0,117.0,16.0,30.258906,60.070796,10.0,12.0,287940.0,541590,234626.65405405403,12.0
166,404510.0,128.0,10.0,30.370387,59.940776,4.8,31.0,216653.0,200654,244764.85882352944,52.0
167,235344.0,137.0,16.0,30.334391,59.987753,2.83,71.0,298767.0,541590,234626.65405405403,73.0
168,285839.0,102.0,26.0,30.451577,59.899004,13.98,34.0,146280.0,547896,236967.59302325585,25.0
169,332414.0,145.0,5.0,30.322066,59.926805,0.73,30.0,279310.0,155981,249123.5042857144,71.0
170,331819.0,132.0,5.0,30.322066,59.926805,0.73,30.0,200500.0,155981,249123.5042857144,71.0
171,304055.0,23.68,12.0,30.312446,59.902154,2.36,67.0,54930.0,155981,249123.5042857144,52.0
172,301887.0,18.55,12.0,30.312446,59.902154,2.36,67.0,54130.0,155981,249123.5042857144,52.0
173,297873.0,47.0,12.0,30.312446,59.902154,2.36,67.0,109411.4,155981,249123.5042857144,52.0
174,307229.0,83.0,5.0,30.437455,59.880356,12.64,25.0,142261.0,547896,236967.59302325585,40.0
175,165968.0,62.0,5.0,30.344336,60.072094,7.4,53.0,126820.0,541590,234626.65405405403,34.0
176,174937.0,157.2,3.0,30.361889,59.900006,4.29,31.0,385686.8,413983,257039.7413333333,72.0
177,158537.0,32.8,18.0,30.331535,60.017292,4.26,75.0,85400.0,541590,234626.65405405403,56.0
178,388754.0,40.9,5.0,30.509186,59.831548,21.15,31.0,80850.0,547896,236967.59302325585,24.0
179,285063.0,87.7,1.0,30.373612,59.936589,5.15,42.0,237599.0,200654,244764.85882352944,57.0
180,220339.0,70.8,13.0,30.41594,59.847268,11.01,41.0,132444.0,413983,257039.7413333333,34.0
181,380000.0,50.0,8.0,30.392297,59.942268,7.24,22.0,94000.0,200654,244764.85882352944,23.0
