,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
309,225288.0,43.5,5.0,30.442773,59.885616,13.15,17.0,98356.0,200654
310,232887.0,43.97,19.0,30.184849,59.942245,15.84,15.0,96320.0,413983
314,315910.0,44.0,5.0,30.379343,59.857418,7.16,90.0,96956.0,200654
315,227046.0,44.0,17.0,30.200542,59.852606,14.57,28.0,109128.0,200654
320,180996.0,44.2,1.0,30.329819,59.915156,1.09,35.0,101212.0,200654
326,84445.0,45.0,1.0,30.297156,59.956899,3.52,48.0,116460.0,200654
330,166298.0,45.1,16.0,30.238577,60.010789,10.48,81.0,139619.4,200654
331,247500.0,45.2,16.0,30.368563,59.885142,5.32,17.0,139619.4,200654
335,199571.0,46.6,25.0,30.375507,59.802929,8.92,26.0,99720.0,200654
337,259575.0,47.0,6.0,30.349043,59.91683,2.61,66.0,105411.8,200654
340,297873.0,47.0,12.0,30.312446,59.902154,2.36,67.0,92411.6,200654
342,222930.0,47.1,17.0,30.223512,60.02793,12.3,63.0,139619.4,200654
344,288819.0,47.4,9.0,30.23581,59.982154,10.4,42.0,92000.0,200654
346,170000.0,47.65,2.0,30.082621,59.724677,28.29,47.0,46275.0,200654
347,170000.0,47.65,2.0,30.082621,59.724677,28.29,47.0,46275.0,200654
348,170000.0,47.65,2.0,30.084013,59.724491,28.15,48.0,46275.0,200654
349,125261.0,47.9,1.0,30.369327,59.927346,4.7,56.0,46275.0,200654
350,334030.0,47.9,3.0,30.359679,59.918526,3.71,46.0,49535.0,200654
351,406596.0,47.91,18.0,30.194542,59.942894,14.76,20.0,149719.4,200654
352,333334.0,48.0,3.0,30.359679,59.918526,3.71,46.0,58727.0,200654
353,209375.0,48.0,5.0,30.3253,59.91466,1.09,37.0,96411.8,200654
356,236140.0,48.7,7.0,30.446474,59.873266,13.72,19.0,108411.8,200654
357,235656.0,48.8,4.0,30.345863,59.925146,2.14,59.0,85800.0,200654
358,118368.0,49.0,5.0,30.382047,59.965912,6.31,30.0,96411.8,200654
359,448980.0,49.0,6.0,30.327223,59.876237,3.05,54.0,96411.8,200654
360,234694.0,49.0,6.0,30.345863,59.925146,2.14,59.0,96411.8,200654
361,341837.0,49.0,12.0,30.488551,59.951506,17.96,26.0,129623.0,413983
369,80646.0,49.6,1.0,30.356822,59.94417,3.32,34.0,95640.0,200654
376,173800.0,50.0,3.0,30.350588,59.922341,2.68,48.0,82900.0,200654
381,440000.0,50.0,5.0,30.358134,59.932495,3.43,22.0,86800.0,200654
383,380000.0,50.0,8.0,30.392297,59.942268,7.24,22.0,106411.8,200654
384,230000.0,50.0,23.0,30.205447,60.002638,13.88,98.0,107020.0,413983
386,59761.0,50.2,5.0,30.348675,59.91129,2.7,62.0,86800.0,200654
387,137200.0,50.4,1.0,30.359356,59.921692,3.64,44.0,92900.0,200654
388,176413.0,50.45,13.0,30.329891,60.006116,3.66,69.0,127211.6,413983
389,353151.0,50.46,19.0,30.184849,59.942245,15.84,15.0,133508.0,200654
390,353151.0,50.46,19.0,30.184849,59.942245,15.84,15.0,133508.0,413983
393,211686.0,51.0,18.0,30.431364,59.900962,11.74,22.0,117508.0,200654
394,335000.0,51.0,25.0,30.303983,59.99669,4.03,59.0,99720.0,200654
395,246967.0,51.1,16.0,30.368563,59.885142,5.32,17.0,133208.0,200654
396,400000.0,51.3,11.0,30.338083,59.880582,3.1,19.0,93411.6,200654
400,295367.0,51.8,16.0,30.40552,59.84819,9.95,55.0,133208.0,200654
410,226416.0,53.0,1.0,30.302699,59.922792,2.81,64.0,123000.0,200654
413,358491.0,53.0,13.0,30.2026,60.030245,14.5,18.0,96000.0,200654
414,348400.0,53.1,1.0,30.2973,59.952331,3.44,46.0,123000.0,200654
415,380160.0,53.3,9.0,30.145673,59.861824,20.42,46.0,98000.0,200654
418,182836.0,53.6,25.0,30.375507,59.802929,8.92,26.0,135700.0,200654
427,322735.0,54.41,9.0,30.288622,59.903823,4.58,42.0,96000.0,200654
428,321101.0,54.5,25.0,30.251773,60.029458,9.52,75.0,135700.0,200654
429,317646.0,54.59,9.0,30.404316,59.938175,8.57,17.0,96000.0,200654
431,103637.0,55.0,1.0,30.311278,59.911475,2.16,57.0,104178.8,200654
