,0,1,2,3,4,5,6,7,8
59,277031.6,14.0,1.0,30.270243,59.838475,7.9,24.0,60000.0,2.0
60,300000.0,14.0,1.0,30.286619,59.926706,4.54,76.0,62400.0,1.0
61,261134.2,14.0,2.0,30.475319,59.966241,16.56,23.0,19600.0,2.0
62,186677.0,14.2,3.0,30.285451,59.898449,5.0,44.0,47220.0,1.0
63,249896.8,14.84,7.0,30.469489,59.952006,15.84,23.0,48081.0,2.0
64,249949.8,15.0,1.0,30.291066,59.957575,4.17,69.0,45000.0,2.0
65,253334.0,15.0,1.0,30.350274,59.916618,2.74,56.0,29439.0,1.0
66,256618.0,15.0,1.0,30.405978,59.719555,14.78,21.0,55000.0,2.0
67,276864.8,15.0,1.0,30.464414,59.864643,15.79,32.0,25000.0,2.0
68,170000.0,15.0,1.0,30.482389,59.885973,17.49,30.0,27470.0,1.0
69,186000.0,15.0,6.0,30.311278,59.911475,2.16,57.0,33639.0,1.0
70,237180.0,15.6,13.0,30.251845,60.015404,9.21,120.0,29828.0,1.0
71,213542.2,16.0,25.0,30.368455,60.046571,7.51,50.0,26000.0,2.0
72,303031.6,16.0,1.0,30.282154,59.850156,6.54,27.0,12000.0,2.0
73,299968.6,17.0,1.0,29.999796,60.027269,36.52,7.0,16000.0,2.0
74,264706.0,17.0,1.0,30.288919,59.921615,4.32,67.0,36628.0,1.0
75,261134.2,17.0,2.0,30.439773,59.959683,12.58,25.0,17000.0,2.0
76,306551.0,17.0,1.0,30.346276,59.932374,2.12,31.0,30000.0,2.0
77,221256.0,17.4,6.0,30.453724,59.900669,14.2,38.0,29580.0,2.0
78,350197.0,17.79,19.0,30.184849,59.942245,15.84,15.0,50440.0,1.0
79,247449.8,17.8,3.0,30.314054,59.847797,4.7,65.0,23140.0,2.0
80,255368.6,17.8,11.0,30.263568,60.004307,7.83,112.0,26700.0,2.0
81,260967.4,18.0,1.0,30.480889,59.9229,17.1,31.0,50000.0,2.0
82,228474.0,18.0,2.0,30.187679,59.942065,15.53,20.0,50000.0,2.0
83,225098.0,18.0,2.0,30.359041,59.808794,7.59,19.0,198000.0,2.0
84,316667.0,18.0,4.0,30.103452,59.836486,25.18,23.0,45536.2,1.0
86,188334.0,18.0,6.0,30.355502,59.936819,3.14,22.0,85664.0,1.0
87,138889.0,18.0,8.0,30.314296,59.912774,1.85,61.0,37958.0,1.0
88,202778.0,18.0,20.0,30.351316,60.078365,7.99,30.0,51000.0,1.0
89,247668.6,18.1,25.0,30.230627,59.938257,10.75,59.0,70000.0,2.0
90,301887.0,18.55,12.0,30.312446,59.902154,2.36,67.0,45758.0,1.0
91,322581.0,18.6,1.0,30.26444,59.942827,7.0,35.0,322600.0,1.0
92,257366.8,19.0,5.0,30.213963,59.85304,13.15,57.0,70000.0,2.0
93,220579.8,19.0,5.0,30.389386,59.986187,7.44,48.0,38000.0,2.0
94,258469.6,19.0,16.0,30.407883,59.932026,8.97,31.0,50000.0,2.0
95,207913.2,19.0,1.0,30.386853,59.969623,6.88,49.0,44000.0,2.0
96,279968.6,19.8,5.0,29.955051,60.089633,41.58,21.0,30000.0,2.0
97,277524.6,19.9,19.0,30.406787,59.956219,8.92,19.0,45000.0,2.0
98,239500.4,20.0,1.0,30.234184,59.944625,10.36,56.0,60000.0,2.0
99,226824.4,20.0,1.0,30.283933,60.023596,6.49,40.0,60000.0,2.0
100,310320.2,20.0,1.0,30.291066,59.957575,4.17,69.0,60000.0,2.0
101,326137.2,20.0,1.0,30.317782,59.864593,3.77,76.0,80000.0,2.0
102,287500.0,20.0,1.0,30.37009,59.932811,4.76,57.0,40880.0,1.0
103,313291.6,20.0,2.0,30.299321,60.001671,4.55,74.0,20000.0,2.0
104,212530.0,20.0,3.0,30.370153,60.050179,7.78,41.0,60000.0,2.0
105,248885.8,20.0,3.0,30.418186,60.034978,11.53,60.0,39000.0,2.0
