,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square
95,368600.0,42.06,10.0,30.318985,59.906504,1.74,47.0,107700.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
96,177726.0,42.2,16.0,30.32486,60.053701,6.09,94.0,95320.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
97,389151.0,42.4,5.0,30.33087,59.843693,4.76,80.0,124748.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
98,175582.0,43.0,1.0,30.349249,59.917493,2.62,62.0,125903.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
99,216280.0,43.0,5.0,30.304792,59.954628,2.68,46.0,98356.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
100,313721.0,43.0,5.0,30.348297,59.945544,2.4,23.0,98356.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
101,407835.0,43.4,11.0,30.338991,59.876928,3.32,18.0,94000.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
102,225288.0,43.5,5.0,30.442773,59.885616,13.15,17.0,98356.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
103,232887.0,43.97,19.0,30.184849,59.942245,15.84,15.0,96320.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
104,315910.0,44.0,5.0,30.379343,59.857418,7.16,90.0,96956.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
105,227046.0,44.0,17.0,30.200542,59.852606,14.57,28.0,109128.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
106,180996.0,44.2,1.0,30.329819,59.915156,1.09,35.0,101212.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
107,84445.0,45.0,1.0,30.297156,59.956899,3.52,48.0,116460.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
108,166298.0,45.1,16.0,30.238577,60.010789,10.48,81.0,139619.4,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
109,247500.0,45.2,16.0,30.368563,59.885142,5.32,17.0,139619.4,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
