,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps
72,303031.6,16.0,1.0,30.282154,59.850156,6.54,27.0,12000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,335774,235598.56981132075
73,299968.6,17.0,1.0,29.999796,60.027269,36.52,7.0,16000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
74,264706.0,17.0,1.0,30.288919,59.921615,4.32,67.0,36628.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
75,261134.2,17.0,2.0,30.439773,59.959683,12.58,25.0,17000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
76,306551.0,17.0,1.0,30.346276,59.932374,2.12,31.0,30000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
77,221256.0,17.4,6.0,30.453724,59.900669,14.2,38.0,29580.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
78,350197.0,17.79,19.0,30.184849,59.942245,15.84,15.0,50440.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
79,247449.8,17.8,3.0,30.314054,59.847797,4.7,65.0,23140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
80,255368.6,17.8,11.0,30.263568,60.004307,7.83,112.0,26700.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
81,260967.4,18.0,1.0,30.480889,59.9229,17.1,31.0,50000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
82,228474.0,18.0,2.0,30.187679,59.942065,15.53,20.0,50000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
83,225098.0,18.0,2.0,30.359041,59.808794,7.59,19.0,198000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
84,316667.0,18.0,4.0,30.103452,59.836486,25.18,23.0,45536.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
85,188334.0,18.0,6.0,30.355502,59.936819,3.14,22.0,85664.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
86,138889.0,18.0,8.0,30.314296,59.912774,1.85,61.0,37958.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
87,202778.0,18.0,20.0,30.351316,60.078365,7.99,30.0,51000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
88,247668.6,18.1,25.0,30.230627,59.938257,10.75,59.0,70000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
89,301887.0,18.55,12.0,30.312446,59.902154,2.36,67.0,45758.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
90,322581.0,18.6,1.0,30.26444,59.942827,7.0,35.0,322600.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
91,257366.8,19.0,5.0,30.213963,59.85304,13.15,57.0,70000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
92,220579.8,19.0,5.0,30.389386,59.986187,7.44,48.0,38000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
93,258469.6,19.0,16.0,30.407883,59.932026,8.97,31.0,50000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
94,207913.2,19.0,1.0,30.386853,59.969623,6.88,49.0,44000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
96,277524.6,19.9,19.0,30.406787,59.956219,8.92,19.0,45000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
97,239500.4,20.0,1.0,30.234184,59.944625,10.36,56.0,60000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
98,226824.4,20.0,1.0,30.283933,60.023596,6.49,40.0,60000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
99,310320.2,20.0,1.0,30.291066,59.957575,4.17,69.0,60000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115757,263780.52452830196
100,326137.2,20.0,1.0,30.317782,59.864593,3.77,76.0,80000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
101,287500.0,20.0,1.0,30.37009,59.932811,4.76,57.0,40880.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
102,313291.6,20.0,2.0,30.299321,60.001671,4.55,74.0,20000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
103,212530.0,20.0,3.0,30.370153,60.050179,7.78,41.0,60000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
104,248885.8,20.0,3.0,30.418186,60.034978,11.53,60.0,39000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
