,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
95,35.4,5.0,0.0,59.955741,30.329738,20.0,2.16,288191.65576923074
96,35.5,5.0,7.0,59.913447,30.323279,40.0,1.68,277500.88611111115
97,35.5,6.0,1.0,59.925453,30.37566,73.0,7.06,254919.1581632653
98,36.0,1.0,1.0,60.075344,30.332999,36.0,7.45,225573.17423312887
99,36.0,2.0,1.0,59.939027,30.276163,37.0,4.03,261970.0192
100,36.0,2.0,1.0,59.939027,30.276163,37.0,4.03,261970.0192
101,36.0,4.0,1.0,59.903241,30.276639,39.0,4.29,277500.88611111115
102,36.0,10.0,0.0,59.806174,30.358107,15.0,8.5,189180.75698924728
103,36.3,19.0,1.0,59.95229,30.213846,69.0,10.98,261970.0192
104,36.37,12.0,0.0,59.880582,30.338083,19.0,4.05,284126.8703125
105,37.0,1.0,0.0,59.936282,30.375516,50.0,7.02,254919.1581632653
106,37.0,7.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
107,37.0,10.0,1.0,59.831173,30.372291,26.0,8.69,284126.8703125
108,37.0,14.0,2.0,60.001671,30.299321,74.0,3.53,279766.9102439024
109,37.0,17.0,0.0,59.985831,30.321536,99.0,2.69,279766.9102439024
110,37.1,5.0,1.0,59.860486,30.375651,84.0,8.11,245996.38888888888
111,37.1,14.0,2.0,59.857003,30.316183,76.0,4.02,284126.8703125
112,37.2,5.0,5.0,59.937486,30.322561,17.0,1.13,254919.1581632653
113,37.28,5.0,0.0,60.026051,30.387724,50.0,9.65,261699.9675
114,37.5,25.0,0.0,60.030245,30.2026,18.0,12.89,279766.9102439024
115,37.52,14.0,1.0,59.831173,30.372291,26.0,8.69,284126.8703125
116,37.7,4.0,1.0,60.01074,30.29094,84.0,4.35,279766.9102439024
117,37.8,14.0,0.0,59.812193,30.371653,33.0,9.31,189180.75698924728
118,38.0,4.0,1.0,59.935209,30.439701,36.0,14.15,222474.55818181817
119,38.0,5.0,0.0,60.002099,30.328561,78.0,3.79,225573.17423312887
120,38.0,5.0,1.0,59.927644,30.406849,19.0,10.51,222474.55818181817
121,38.4,9.0,0.0,60.011441,30.335083,58.0,4.59,225573.17423312887
122,38.4,9.0,0.0,60.011441,30.335083,58.0,4.59,225573.17423312887
123,38.5,3.0,2.0,59.959228,30.315679,76.0,1.19,288191.65576923074
124,39.0,1.0,2.0,59.985908,30.299429,60.0,2.83,279766.9102439024
125,39.0,5.0,4.0,59.927806,30.338254,55.0,2.91,254919.1581632653
126,39.0,9.0,1.0,59.862352,30.474008,34.0,18.47,218420.79166666663
127,39.0,12.0,0.0,59.810505,30.358287,18.0,8.33,189180.75698924728
128,39.0,18.0,1.0,59.852908,30.315105,77.0,4.21,284126.8703125
129,39.1,6.0,1.0,59.920303,30.294192,56.0,2.18,277500.88611111115
130,39.5,15.0,6.0,59.932468,30.35181,21.0,4.39,254919.1581632653
131,40.0,1.0,0.0,60.041251,30.241901,63.0,9.22,279766.9102439024
132,40.0,1.0,1.0,59.851209,30.31523,74.0,4.3,284126.8703125
133,40.0,1.0,0.0,60.00751,30.482685,32.0,19.37,222474.55818181817
134,40.0,2.0,0.0,59.9229,30.480889,31.0,18.75,218420.79166666663
135,40.0,4.0,2.0,59.937616,30.336808,26.0,2.71,254919.1581632653
136,40.0,5.0,0.0,59.905276,30.438434,15.0,14.12,218420.79166666663
137,40.0,6.0,6.0,59.926381,30.35269,23.0,4.51,254919.1581632653
138,40.0,9.0,2.0,59.924172,30.382918,68.0,7.87,254919.1581632653
139,40.0,25.0,3.0,59.910762,30.347228,74.0,4.1,245996.38888888888
140,40.0,25.0,0.0,59.94613,30.49218,22.0,20.0,222474.55818181817
141,40.5,2.0,1.0,59.858349,30.387428,54.0,9.34,245996.38888888888
142,40.5,5.0,3.0,59.938928,30.359912,22.0,5.28,254919.1581632653
143,40.67,10.0,0.0,59.881358,30.429685,23.0,13.4,218420.79166666663
144,41.0,1.0,1.0,59.900064,30.490617,28.0,19.93,218420.79166666663
145,41.0,8.0,0.0,59.922201,30.371456,60.0,6.61,254919.1581632653
146,41.0,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
147,41.3,26.0,0.0,59.931057,30.26514,26.0,5.26,261970.0192
148,41.4,6.0,0.0,59.963066,30.245566,40.0,7.54,288191.65576923074
149,41.7,9.6,0.0,59.924041,30.305205,51.0,1.02,277500.88611111115
150,41.9,5.0,7.0,59.909779,30.316326,58.0,1.42,277500.88611111115
151,42.0,5.0,1.0,59.95402,30.29739,48.0,1.88,288191.65576923074
152,42.06,10.0,4.0,59.906504,30.318985,47.0,1.68,284126.8703125
153,42.12,28.0,1.0,59.831173,30.372291,26.0,8.69,284126.8703125
154,42.2,16.0,2.0,60.053701,30.32486,94.0,6.09,225573.17423312887
155,42.4,5.0,0.0,59.843693,30.33087,80.0,5.16,284126.8703125
156,42.8,5.0,0.0,59.994652,30.323288,88.0,3.18,279766.9102439024
157,43.0,5.0,1.0,59.954628,30.304792,46.0,1.23,288191.65576923074
158,43.0,5.0,2.0,59.945544,30.348297,23.0,4.02,254919.1581632653
159,43.0,5.0,4.0,59.917493,30.349249,62.0,4.21,254919.1581632653
160,43.0,8.2,7.0,59.929037,30.323683,23.0,1.31,254919.1581632653
161,43.3,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
162,43.4,10.0,0.0,59.805052,30.379909,20.0,10.27,189180.75698924728
163,43.4,11.0,0.0,59.876928,30.338991,18.0,4.26,284126.8703125
164,43.4,25.0,2.0,59.999282,30.258565,125.0,6.68,279766.9102439024
165,43.5,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
166,43.97,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
167,44.0,2.0,3.0,59.924758,30.360191,44.0,5.35,254919.1581632653
168,44.0,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
169,44.0,5.0,1.0,59.857418,30.379343,90.0,8.55,245996.38888888888
170,44.0,17.0,0.0,59.852606,30.200542,28.0,12.98,282094.2408163265
171,44.0,18.0,1.0,60.004307,30.263568,112.0,6.32,279766.9102439024
172,44.0,25.0,0.0,59.802418,30.377618,22.0,10.17,189180.75698924728
173,44.1,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
174,44.1,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
175,44.2,5.0,2.0,59.915156,30.329819,35.0,2.22,277500.88611111115
176,44.3,2.0,4.0,59.935732,30.335496,25.0,2.57,254919.1581632653
177,44.4,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
178,44.4,4.0,3.0,59.931824,30.362949,40.0,5.62,254919.1581632653
179,44.8,1.0,0.0,59.864873,30.424142,17.0,13.04,245996.38888888888
180,44.8,2.0,7.0,59.929096,30.321698,24.0,1.1,254919.1581632653
181,45.0,3.0,0.0,59.812392,30.367162,33.0,8.94,189180.75698924728
182,45.0,4.0,2.0,59.958224,30.355681,39.0,4.94,261699.9675
183,45.0,5.0,1.0,59.956899,30.297156,48.0,1.97,288191.65576923074
184,45.0,13.0,4.0,59.944959,30.359805,40.0,5.29,254919.1581632653
185,45.1,16.0,0.0,60.010789,30.238577,81.0,8.9,279766.9102439024
186,45.2,16.0,1.0,59.885142,30.368563,17.0,6.81,245996.38888888888
187,45.5,1.0,1.0,59.905357,30.342404,77.0,3.7,245996.38888888888
188,46.2,2.0,0.0,60.033665,30.194811,5.0,13.75,279766.9102439024
189,46.4,2.0,2.0,59.958246,30.27998,52.0,3.76,288191.65576923074
190,46.6,25.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
191,47.0,2.0,1.0,59.87603,30.368932,34.0,7.05,245996.38888888888
192,47.0,6.0,4.0,59.91683,30.349043,66.0,4.2,254919.1581632653
193,47.0,9.0,2.0,59.938293,30.388138,34.0,8.42,254919.1581632653
194,47.0,10.0,1.0,59.839782,30.396375,74.0,10.7,245996.38888888888
195,47.0,12.0,3.0,59.902154,30.312446,67.0,1.72,277500.88611111115
196,47.0,26.0,2.0,60.050125,30.331616,90.0,6.17,225573.17423312887
197,47.1,17.0,0.0,60.02793,30.223512,63.0,10.72,279766.9102439024
198,47.3,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
199,47.4,9.0,0.0,59.982154,30.23581,42.0,8.77,279766.9102439024
200,47.5,10.0,0.0,59.957111,30.330852,24.0,2.3,288191.65576923074
201,47.9,3.0,3.0,59.918526,30.359679,46.0,5.34,254919.1581632653
202,47.9,5.0,1.0,59.927346,30.369327,56.0,6.35,254919.1581632653
203,47.91,18.0,0.0,59.942894,30.194542,20.0,13.11,261970.0192
204,48.0,3.0,3.0,59.918526,30.359679,46.0,5.34,254919.1581632653
205,48.0,5.0,6.0,59.91466,30.3253,37.0,1.81,277500.88611111115
206,48.0,8.0,1.0,59.933036,30.239197,40.0,8.14,261970.0192
