,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
40,27.0,1.0,1.0,59.840659,30.317539,53.0,4.86,284126.8703125
779,94.1,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
1113,129.0,13.0,1.0,59.847268,30.41594,41.0,12.51,245996.38888888888
1177,138.0,9.0,0.0,59.853695,30.30313,60.0,4.24,284126.8703125
1318,161.5,23.0,3.0,59.936846,30.312185,32.0,0.03,254919.1581632653
437,67.5,24.0,2.0,59.997514,30.302079,72.0,3.23,279766.9102439024
216,49.2,6.0,1.0,59.962224,30.306642,44.0,1.43,288191.65576923074
268,53.6,25.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
863,100.0,6.4,5.0,59.921304,30.352995,37.0,4.58,254919.1581632653
1507,217.0,7.0,5.0,59.939014,30.355762,27.0,4.82,254919.1581632653
805,96.0,25.0,5.0,59.942043,30.351549,23.0,4.36,254919.1581632653
595,78.5,4.0,6.0,59.932374,30.352528,20.0,4.47,254919.1581632653
840,99.27,11.0,0.0,59.880582,30.338083,19.0,4.05,284126.8703125
1541,243.2,16.0,1.0,59.914434,30.483889,26.0,19.11,218420.79166666663
1443,192.5,24.0,1.0,59.839642,30.356625,71.0,7.06,284126.8703125
189,46.4,2.0,2.0,59.958246,30.27998,52.0,3.76,288191.65576923074
25,23.9,3.0,0.0,60.03567,30.235397,81.0,9.7,279766.9102439024
1132,131.0,14.0,0.0,60.06923,30.2374,33.0,10.35,225573.17423312887
926,108.0,9.0,2.0,59.955885,30.296402,52.0,2.02,288191.65576923074
1393,181.0,4.0,1.0,59.919491,30.297372,55.0,1.87,277500.88611111115
799,96.0,1.0,0.0,59.939329,30.390105,25.0,8.64,254919.1581632653
1016,115.0,25.0,2.0,59.959093,30.313739,74.0,1.14,288191.65576923074
185,45.1,16.0,0.0,60.010789,30.238577,81.0,8.9,279766.9102439024
1018,115.1,5.0,1.0,59.956674,30.300956,35.0,1.62,288191.65576923074
132,40.0,1.0,1.0,59.851209,30.31523,74.0,4.3,284126.8703125
1065,121.7,13.0,0.0,59.902217,30.341578,66.0,3.69,245996.38888888888
965,110.7,4.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
1530,231.7,2.0,0.0,60.042447,30.35861,53.0,7.55,225573.17423312887
32,25.0,6.0,0.0,60.03567,30.453346,56.0,16.64,222474.55818181817
899,105.0,15.0,1.0,59.962697,30.322246,76.0,1.71,288191.65576923074
161,43.3,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
957,110.0,13.0,0.0,60.030245,30.2026,18.0,12.89,279766.9102439024
239,50.4,5.0,3.0,59.921692,30.359356,44.0,5.28,254919.1581632653
548,75.4,9.0,1.0,60.004285,30.295261,72.0,3.84,279766.9102439024
728,89.5,5.0,0.0,60.038573,30.199195,9.0,13.37,279766.9102439024
578,77.0,25.0,0.0,60.008378,30.479038,32.0,18.98,222474.55818181817
718,89.0,3.0,1.0,59.935209,30.439701,36.0,14.15,222474.55818181817
1301,157.7,11.0,1.0,59.850595,30.26938,27.0,6.31,239969.54054054053
469,70.3,14.0,1.0,60.035535,30.334957,65.0,5.65,225573.17423312887
1487,203.3,7.0,7.0,59.911141,30.320018,39.0,1.54,277500.88611111115
1106,128.0,10.0,0.0,59.940776,30.370387,31.0,6.45,254919.1581632653
