,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,population,mean_distr_pps,pop_per_park
55,314968.4,10420000.0,110000.0,30.0,5.0,30.313955,59.851598,0.0,0.0,1.0,76.0,3666.6666666666665,4.27,335221,284126.8703125,52421.80639978578
56,297641.2,9158000.0,69000.0,30.0,5.0,30.334598,59.987258,0.0,0.0,0.0,70.0,2300.0,3.58,541590,225573.17423312887,48283.242736644796
57,281912.4,7967312.0,45000.0,30.0,23.0,30.254926,60.040923,0.0,0.0,0.0,55.0,1500.0,8.06,699243,279766.9102439024,37936.83357879234
58,197369.0,6000000.0,80488.0,30.4,5.0,30.442773,59.885616,0.0,0.0,1.0,17.0,2647.6315789473683,14.77,547896,218420.79166666666,11725.930378899451
59,274510.0,8400000.0,91861.8,30.6,9.0,30.386071,59.86823,0.0,0.0,1.0,74.0,3002.019607843137,8.97,413983,245996.38888888888,51042.285178738784
60,276873.0,8500000.0,83869.8,30.7,5.0,30.357397,59.838607,0.0,0.0,1.0,67.0,2731.915309446254,7.16,335221,284126.8703125,46213.96090507431
61,215473.2,7720000.0,62000.0,31.0,3.0,30.381194,59.802576,0.0,0.0,0.0,15.0,2000.0,10.47,263732,189180.75698924728,10346.409157852457
62,281613.8,10178912.0,50000.0,31.0,5.0,30.22883,59.960179,0.0,0.0,1.0,75.0,1612.9032258064517,9.36,206680,261970.0192,51732.04578926229
63,273946.2,8800000.0,70000.0,31.0,9.0,30.362311,59.924984,0.0,1.0,3.0,41.0,2258.064516129032,5.58,200654,254919.1581632653,28280.18503146338
64,322745.6,10079312.0,60000.0,31.0,6.2,30.262535,60.011941,0.0,1.0,1.0,101.0,1935.483870967742,6.6,699243,279766.9102439024,69665.8216628732
65,380222.4,13840000.0,60000.0,31.1,16.0,30.330717,59.8977,0.0,0.0,0.0,38.0,1929.260450160772,2.84,335221,284126.8703125,26210.90319989289
66,327245.6,9521312.0,62600.0,31.3,3.0,30.259966,59.969957,1.0,1.0,1.0,51.0,2000.0,6.04,115757,288191.65576923074,35177.79113669835
67,252378.4,9054080.0,88900.0,31.3,10.0,30.4072,59.935935,0.0,0.0,1.0,29.0,2840.255591054313,10.54,366971,222474.55818181817,20003.057705181418
68,213376.0,6700000.0,80488.0,31.4,5.0,30.442773,59.885616,0.0,0.0,1.0,17.0,2563.312101910828,14.77,547896,218420.79166666666,11725.930378899451
