,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
34,316706.6,10296080.0,66040.0,25.4,1.0,30.41126,59.928217,1.0,1.0,1.0,42.0,2600.0,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366971,222474.55818181817
35,376147.4,12240000.0,50000.0,26.0,1.0,30.306094,59.896946,0.0,0.0,1.0,50.0,1923.076923076923,2.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155981,277500.88611111115
36,284309.0,7688000.0,60000.0,26.0,2.0,30.346644,59.928194,2.0,2.0,4.0,49.0,2307.692307692308,3.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
37,303619.4,8658000.0,55000.0,26.0,10.0,30.343905,59.965966,0.0,1.0,2.0,44.0,2115.3846153846152,3.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
38,270000.0,7041600.0,81501.8,26.08,5.0,30.308322,59.754121,0.0,0.0,0.0,0.0,3125.069018404908,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
39,262535.8,8160000.0,69500.0,26.1,9.0,30.373693,59.812197,0.0,0.0,0.0,32.0,2662.8352490421453,9.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
40,314968.4,10420000.0,59400.0,27.0,1.0,30.317539,59.840659,0.0,0.0,1.0,53.0,2200.0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
41,334748.8,9860000.0,95000.0,27.0,9.0,30.362311,59.924984,0.0,1.0,3.0,41.0,3518.5185185185187,5.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
42,332029.0,9761112.0,60000.0,27.0,27.0,30.26382,59.852565,0.0,0.0,2.0,27.0,2222.222222222222,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,335774,239969.54054054053
43,282003.8,7858000.0,67620.0,27.6,3.0,30.376918,59.926359,0.0,0.0,2.0,61.0,2450.0,7.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
