latitude;longitude
30.1411248;60.0307205
30.1410081;60.0309918
30.1437556;60.0296193
30.1446091;60.0298019
30.1377863;60.0297675
30.1404594;60.0321752
30.1467607;60.0315766
30.1480276;60.0317941
30.1467167;60.0311294
30.4032134;59.8567545
30.4134522;59.8621544
30.414048;59.8643152
30.4137012;59.8643583
30.3145722;59.8748735
30.3205497;59.8816798
30.3168076;59.8787841
30.3181007;59.8783343
30.0082954;60.1445715
30.4313305;59.689525
30.2300842;59.8505542
30.2801285;59.797658
30.2839124;59.7980786
30.4385857;59.686104
30.6253814;59.7378903
30.6192284;59.7415855
30.4102065;59.851212
30.4115081;59.851451
30.4100087;59.8514324
30.4170322;59.844921
30.4207993;59.8454828
30.418268;59.84512
30.4270924;59.8523181
30.4143707;59.8591376
30.4073386;59.8587631
30.4864403;59.8542678
30.485407;59.8536819
30.4837433;59.8517759
30.4717864;59.8578308
30.4653083;59.8514059
30.4735857;59.8575853
30.4696302;59.8558839
30.4719523;59.8539752
30.4728298;59.8525567
30.4111889;59.8603036
30.4091719;59.8597123
30.4838604;59.8547019
30.4786377;59.852583
30.3910455;59.9184477
30.4417702;59.6858376
30.4339138;59.693585
30.3678793;59.8681475
30.367339;59.8680757
30.3722433;59.8685516
30.2869064;59.8965654
30.2818503;59.8930118
30.2826212;59.8909458
30.2812128;59.8922975
30.2780115;59.8888419
30.4259023;59.837312
30.4262864;59.8372888
30.4267155;59.8376682
30.4294226;59.8457836
30.4291562;59.8468756
30.4239126;59.8403527
30.3927157;60.0453986
30.3906009;60.0455368
30.4175357;59.9355569
30.4175845;59.9355403
30.4186971;59.9364652
30.4190455;59.9351108
30.4186276;59.9349213
30.3122904;59.8395402
30.3123425;59.8389074
30.3185789;59.8371952
30.3189873;59.8383956
30.316576;59.8379559
30.3169284;59.8373154
30.3171436;59.8379879
30.4327538;60.0332688
30.4327538;60.0332688
30.4334965;60.0318127
30.4337175;60.0312269
30.4362439;60.0242664
30.4412119;59.6983604
30.4384301;59.6966237
30.4385745;59.6963562
30.4208073;59.6947692
30.334676;59.827298
30.4548216;59.6847806
30.3820726;59.7311284
30.3653729;59.7580064
30.3659619;59.7577372
30.2215981;60.0017205
30.2226323;60.0034297
30.422569;59.8357596
30.352275;59.7648399
30.2258957;60.0053387
30.2268514;60.0051873
30.2281155;60.0050202
30.2303004;60.0052761
30.2311329;60.0051796
30.2313698;60.0048758
