WKT	NAME	NAME_EN	NAME_RU	WATERWAY	OSM_TYPE	OSM_ID
"LINESTRING (30.5070242 59.9867155,30.5069309 59.986657,30.5065242 59.9864981,30.5066444 59.9862606,30.5066578 59.9862648,30.5064789 59.9860831,30.50653 59.9859214,30.506487 59.9854906,30.5065643 59.9853189,30.5064184 59.985184,30.5065413 59.9849582,30.5067131 59.9845089,30.5067274 59.984048,30.50659 59.9836616,30.5064441 59.9833224,30.5063893 59.9827873,30.5061861 59.9821,30.5061478 59.981528,30.5059478 59.9814292,30.5058732 59.9813514,30.5060238 59.981175,30.50599 59.9809474,30.5055779 59.9806897,30.5055195 59.9804193)"	Горелый ручей			stream	way	"24979144"
"LINESTRING (30.1481401 60.0592215,30.1481048 60.0591618,30.1481942 60.0590903,30.1481163 60.0589923,30.148084 60.0589095,30.147797 60.0588327,30.1476798 60.0588216,30.1476286 60.0587667,30.1476482 60.0587155,30.1475465 60.0585566,30.1474864 60.0584953,30.1474212 60.0584458,30.1471785 60.0583078,30.1468967 60.0581254,30.1468053 60.0580564,30.1467349 60.0578636,30.1466931 60.057822,30.1466514 60.0577959,30.1466409 60.0577308,30.1466201 60.0576917,30.1465392 60.0576383,30.1463356 60.057568,30.146119 60.0574091,30.1460146 60.0572866,30.1459364 60.0571837,30.1459024 60.0571108,30.1458998 60.0570574,30.1459155 60.0570274,30.1460355 60.0569857,30.1460199 60.0569506,30.1459442 60.0569115,30.1458137 60.0568763,30.1455658 60.0568815,30.1452892 60.0568021,30.1449552 60.0566914,30.1447255 60.0566445,30.1445716 60.0566158,30.1444254 60.0565611,30.1442636 60.0564725,30.1441749 60.0563918,30.1441149 60.0563514,30.1440183 60.0563241,30.1438905 60.0563032,30.1436843 60.0562837,30.1434729 60.0562785,30.1433738 60.0562863,30.1432198 60.056311,30.143105 60.0563241,30.1430215 60.0563162,30.1429745 60.0562811,30.1429249 60.0562159,30.142878 60.0561417,30.142818 60.0560922,30.1427501 60.0560675,30.1426483 60.0560531,30.1424891 60.0560479,30.1423795 60.0560466,30.1422182 60.0559715,30.1419458 60.0558579,30.142063 60.0557822,30.1419596 60.05571,30.1417528 60.0556342,30.1416563 60.0555654,30.1414012 60.0555413,30.1411668 60.0555103,30.1409117 60.0554415,30.1408496 60.0553589,30.1407324 60.0552316,30.1405807 60.0551765,30.1403532 60.0550733,30.1401464 60.0550285,30.1399878 60.0549287,30.1398292 60.0548048,30.1396569 60.0546637,30.1394983 60.0545708,30.1392294 60.0545605,30.138995 60.0545949,30.1388778 60.0545846,30.1387537 60.0544917,30.1386089 60.0544607,30.1384297 60.0545054,30.1382366 60.0544848,30.1380642 60.0544676,30.1378712 60.0544917,30.1377816 60.054471,30.1374713 60.0544951,30.1373058 60.0545158,30.1371128 60.0545158,30.1369266 60.054502,30.1367198 60.0544538,30.1365543 60.0543746,30.1364371 60.0542714,30.1362372 60.0542129,30.1360579 60.0541028,30.1358304 60.0540202,30.1356443 60.054003,30.1354857 60.0539444,30.1354512 60.0538928,30.1355064 60.0538137,30.1354099 60.0537242,30.1353271 60.0537242,30.1352582 60.053676,30.1352582 60.0536175,30.135141 60.0535487,30.1349962 60.0535074,30.1348169 60.0533697,30.1346928 60.0533525,30.1345825 60.0533043,30.1344446 60.0532286,30.1343067 60.0531391,30.1341895 60.0530255,30.1341413 60.0529532,30.1340172 60.0528672,30.1339482 60.0527915,30.1338448 60.0526194,30.1338172 60.0525471,30.1337138 60.052468,30.1335966 60.0523578,30.1336242 60.052289,30.1336656 60.0522236,30.1336173 60.0521548,30.1335208 60.0521135,30.1335415 60.0520549,30.1335621 60.0519792,30.1334449 60.0519069,30.1333208 60.0518691,30.1332519 60.0517762,30.1332381 60.0516695,30.1332174 60.0515937,30.1331691 60.0515283,30.133245 60.0514492,30.133376 60.0513941,30.1334242 60.0513253,30.1333967 60.0512668,30.1332795 60.051222,30.1333001 60.0511532,30.1332312 60.0511119,30.1332657 60.0510327,30.1332657 60.0509432,30.1333898 60.0508537,30.1334587 60.0507092,30.1335759 60.0505646,30.1335966 60.0505061,30.1337138 60.050365,30.1337897 60.0502617,30.1338241 60.0501171,30.1339138 60.0499932,30.1340516 60.0498762,30.1339965 60.0497144,30.134093 60.0496249,30.1341591 60.0494575,30.1341591 60.0489432,30.1341522 60.0489011,30.1341251 60.0487369)"	река Чёрная			stream	way	"25470409"
"LINESTRING (30.433342 60.0213446,30.4336895 60.0213834,30.4340257 60.0214418,30.4343959 60.0215683,30.4345892 60.0215847,30.4347414 60.0215589,30.4350701 60.0214011,30.4352766 60.0212072,30.435936 60.0211749,30.4361254 60.0211872,30.4362438 60.0212325,30.4363872 60.0212349,30.4365013 60.0211248,30.4366248 60.0210916,30.4369433 60.0210439)"	Муринский ручей			river	way	"25744259"
"LINESTRING (29.8980331 59.8648012,29.8991294 59.8667976,29.9001885 59.8687427,29.9044086 59.8764851,29.9062695 59.8799101)"	Самсониевский канал			canal	way	"27366522"
"LINESTRING (29.8984596 59.8647295,29.8984624 59.8647649,29.8984505 59.8650756,29.8984716 59.86512,29.8984759 59.8651317,29.8985104 59.8651881,29.8992519 59.8664973,29.9004273 59.8687279,29.9007669 59.869364,29.9041141 59.8754455)"	Ольгинский канал			canal	way	"27366523"
"LINESTRING (30.2383435 59.9799871,30.2383424 59.9799566)"				drain	way	"27554477"
"LINESTRING (30.6186918 59.7426423,30.6186444 59.7431475,30.6183654 59.7440801,30.6182259 59.7442747,30.6179094 59.7444395,30.6176734 59.7448152,30.6176197 59.7453018,30.6170189 59.7460558,30.6168741 59.7464734,30.6167132 59.7466302,30.6165326 59.7467512,30.6162894 59.7470059,30.6158575 59.747345,30.6156832 59.747568,30.6157331 59.7477387,30.6166249 59.7479695,30.6169817 59.7480765,30.6171259 59.7481615,30.6172439 59.7488361,30.617243 59.7496105,30.6172416 59.7496879,30.6172479 59.7499727,30.617236 59.7504366,30.6172636 59.7506976,30.6173101 59.7510443)"	Харламов ручей			river	way	"27695516"
"LINESTRING (30.6173101 59.7510443,30.6174108 59.7512632,30.6175796 59.7515136,30.6177707 59.7517756,30.6177846 59.7518864,30.6179122 59.7519916,30.6180067 59.7522061,30.6185007 59.7527295,30.6188584 59.7529669,30.6194205 59.7533787,30.619693 59.7537906,30.6199258 59.7541652,30.6202097 59.7548716,30.6204709 59.7551547,30.621033 59.755618,30.6217484 59.7563702,30.6221799 59.7567934,30.6222424 59.7570565,30.6222594 59.7574626,30.6223786 59.7576456)"	Харламов ручей			river	way	"27695519"
"LINESTRING (30.6181977 59.7694347,30.6182124 59.7696615,30.6181184 59.7703596)"	Малая Ижорка			river	way	"27695520"
"LINESTRING (30.6223786 59.7576456,30.6220108 59.7581329,30.6218609 59.7582251,30.621744 59.7583428,30.6218008 59.7584835,30.6217724 59.7586493,30.6213623 59.7589753,30.6210978 59.7594922,30.6207423 59.7600696,30.6206712 59.7605598,30.6207912 59.7611283,30.6203734 59.7617707,30.6201823 59.7622295,30.6202445 59.7628092,30.6203823 59.7632031,30.6204001 59.7634045,30.6200223 59.7638297,30.6199023 59.7640871,30.6197734 59.764519,30.6193598 59.7649172,30.6192335 59.7652033,30.6192606 59.7653667,30.6190442 59.7657118,30.618972 59.7660206,30.6190442 59.7664973,30.6188368 59.7670194,30.6188818 59.7676369,30.6188458 59.7678094,30.6186384 59.7680092,30.6183949 59.7681817,30.6183588 59.7683951,30.618449 59.76889,30.6181977 59.7694347)"	Малая Ижорка			river	way	"27695521"
"LINESTRING (30.5984063 59.7466435,30.5964816 59.7469509,30.5955806 59.7472163,30.5948949 59.7475659,30.5945766 59.7480338,30.5943707 59.7486823,30.5944351 59.7492075,30.5947304 59.74976,30.5951492 59.750066,30.5956003 59.7503283,30.5965149 59.7506634,30.5974625 59.7509474,30.5994163 59.751062,30.6000856 59.7511398)"	Ижора	Izhora		river	way	"27695523"
