X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	HIGHWAY	REF	NETWORK	PUBLIC_TRA	OSM_TYPE	OSM_ID
30.4648724	59.9079825	улица Антонова-Овсеенко				bus_stop			platform	node	"524322154"
30.3120394	59.8479929	Варшавская улица				bus_stop			platform	node	"524596524"
30.2558628	59.9895812	станция метро «Старая Деревня»				bus_stop			platform	node	"536733164"
30.253708	59.9951449	улица Оптиков			tram_stop				stop_position	node	"536740906"
30.2536552	59.9947906	Гаккелевская улица			tram_stop				stop_position	node	"536741106"
30.4798387	59.8836485	Правобережные бани				bus_stop			platform	node	"537649771"
30.4785015	59.8838153	Правобережные бани				bus_stop			platform	node	"537649778"
30.4860399	59.884536	проспект Большевиков				bus_stop			platform	node	"537649793"
30.4864695	59.884848	Народная улица				bus_stop			platform	node	"537649800"
30.4903767	59.8919103	улица Тельмана				bus_stop			platform	node	"537649809"
30.4912497	59.8927233	улица Тельмана				bus_stop			platform	node	"537649819"
30.4917936	59.8953145	"проспект Большевиков, 33"				bus_stop			platform	node	"537649831"
30.4911858	59.8950863	"проспект Большевиков, 33"				bus_stop			platform	node	"537649852"
30.4886747	59.9006643	улица Крыленко				bus_stop			platform	node	"537649857"
30.4891196	59.8995315	улица Крыленко				bus_stop			platform	node	"537649867"
30.4863843	59.9024663	"улица Шотмана, Университет телекоммуникаций"				bus_stop			platform	node	"537649876"
30.4867325	59.9027278	"улица Шотмана, Университет телекоммуникаций"				bus_stop			platform	node	"537649883"
30.4829737	59.9060229	станция метро «Улица Дыбенко»				bus_stop			platform	node	"537649891"
30.4826779	59.9071299	станция метро «Улица Дыбенко»				bus_stop			platform	node	"537649898"
30.483658	59.907105	станция метро «Улица Дыбенко»				bus_stop			platform	node	"537649905"
30.4840634	59.9068337	станция метро «Улица Дыбенко»				bus_stop			platform	node	"537649914"
30.4689613	59.8834345	Дальневосточный проспект				bus_stop			platform	node	"537656384"
30.4674666	59.8836789	улица Новосёлов				bus_stop			platform	node	"537656385"
30.4661747	59.8900489	улица Тельмана				bus_stop			platform	node	"537656387"
30.472405	59.891513	"улица Тельмана, 34"				bus_stop			platform	node	"537656389"
30.4717311	59.8915615	"улица Тельмана, 34"				bus_stop			platform	node	"537656390"
30.4784753	59.893458	"улица Тельмана, угол Искровского проспекта"				bus_stop			platform	node	"537656391"
30.4777071	59.8929285	Искровский проспект				bus_stop			platform	node	"537656392"
30.4749976	59.8967588	улица Крыленко				bus_stop			platform	node	"537656393"
30.4749229	59.8972539	улица Крыленко				bus_stop			platform	node	"537656394"
30.4841904	59.8926615	"улица Тельмана, 45"				bus_stop			platform	node	"537656395"
30.4787331	59.8778325	"Дальневосточный проспект, угол проспекта Большевиков"				bus_stop			platform	node	"537657016"
30.4702393	59.8812121	Дальневосточный проспект				bus_stop			platform	node	"537657020"
30.2273595	60.0085044	Яхтенная улица				bus_stop			platform	node	"538424472"
30.2463866	60.0062472	"Камышовая улица, угол Стародеревенской улицы"				bus_stop			platform	node	"538424526"
30.3071581	60.0017888	Удельный парк			tram_stop				stop_position	node	"538958424"
30.2997556	59.9787702	Каменный остров				bus_stop			platform	node	"541961610"
30.3319254	59.9977588	проспект Энгельса				bus_stop			platform	node	"541976130"
30.342307	59.9964057	Институтский проспект				bus_stop			platform	node	"541976131"
30.3485106	60.0006039	Институтский проспект							platform	node	"541976134"
30.3474794	60.0000399	2-й Муринский проспект				bus_stop			platform	node	"541976136"
30.353779	59.9998525	Болотная улица							platform	node	"541976138"
30.4945098	59.9087878	река Оккервиль			tram_stop				stop_position	node	"542567298"
30.4131733	59.8390856	улица Ярослава Гашека				bus_stop			platform	node	"544483432"
30.3477494	60.0502524	улица Ивана Фомина		улица Ивана Фомина	tram_stop				stop_position	node	"546491248"
30.2874135	59.8520798	железнодорожная платформа «Ленинский проспект»				bus_stop			platform	node	"546844499"
29.8640629	59.8798797	железнодорожная станция «Старый Петергоф»				bus_stop			platform	node	"550473355"
29.889331	59.8832321	Фабричная улица				bus_stop			platform	node	"550473360"
30.3997474	59.8522342	улица Димитрова				bus_stop			platform	node	"551437871"
30.3881935	60.0037486	Политехнический институт				bus_stop			platform	node	"560029396"
30.3835509	59.999198	Агрофизический институт				bus_stop			platform	node	"560029400"
30.37958	59.9953985	Проспект Непокорённых		Проспект Непокорённых		bus_stop			platform	node	"560037069"
30.3651441	59.9867336	проспект Маршала Блюхера				bus_stop			platform	node	"560037073"
30.3561603	59.9865998	Полюстровский проспект				bus_stop			platform	node	"560037077"
30.3449258	59.9855061	станция метро «Лесная»				bus_stop	"2152"		platform	node	"560037081"
30.3408505	59.9851134	Лесной проспект				bus_stop			platform	node	"560039286"
30.3368845	59.9847122	Большой Сампсониевский проспект				bus_stop			platform	node	"560039287"
30.3327433	59.9836761	Белоостровская улица				bus_stop			platform	node	"560039288"
30.328173	59.9816757	Выборгская набережная				bus_stop			platform	node	"560039289"
30.316695	59.9746916	улица Академика Павлова				bus_stop	"12178"		platform	node	"560040869"
30.3109085	59.9642466	Ординарная улица		Ординарная улица		bus_stop			platform	node	"560040871"
30.4061148	60.0317288	"улица Ушинского, угол Учительской улицы"				bus_stop			platform	node	"561208478"
30.4062445	60.0311602	"улица Ушинского, угол Учительской улицы"				bus_stop			platform	node	"561208482"
30.4018273	60.0324048	улица Брянцева				bus_stop			platform	node	"561208490"
30.4041726	60.0273078	улица Ушинского				bus_stop			platform	node	"561208510"
30.4088847	60.025954	Гражданский проспект				bus_stop			platform	node	"561208513"
30.4095777	60.0261844	"проспект Луначарского, угол Гражданского проспекта"				bus_stop			platform	node	"561208516"
30.404726	60.0202511	Северный проспект				bus_stop			platform	node	"561208519"
30.4054292	60.0205246	Северный проспект				bus_stop			platform	node	"561208522"
30.4027072	60.0280283	улица Ушинского				bus_stop			platform	node	"561208524"
30.3119632	59.9638773	Ординарная улица		Ординарная улица		bus_stop			platform	node	"563671498"
30.3289031	59.9996738	проспект Пархоменко				bus_stop			platform	node	"563674018"
30.3461847	60.0105066	проспект Тореза				bus_stop			platform	node	"563674019"
30.3657118	59.9979465	станция метро «Площадь Мужества»				bus_stop			platform	node	"563674020"
30.3842678	59.9995351	Агрофизический институт				bus_stop			platform	node	"563674021"
30.3815175	59.9966987	проспект Непокорённых		проспект Непокорённых		bus_stop			platform	node	"563674022"
30.3551285	59.9861877	Полюстровский проспект				bus_stop			platform	node	"563675161"
30.3652375	59.9860257	проспект Маршала Блюхера				bus_stop			platform	node	"563675162"
30.3071853	60.0019789	Удельный парк				bus_stop			platform	node	"566914795"
30.3192524	59.8851738	Администрация Московского района				bus_stop			platform	node	"567333766"
29.9002805	59.8749196	Универсам				bus_stop			platform	node	"578216611"
29.8990852	59.8732061	"Разводная улица, угол Эрлеровского бульвара"				bus_stop			platform	node	"578216625"
29.9005984	59.8737008	Эрлеровский бульвар				bus_stop			platform	node	"578216643"
29.9007024	59.8752138	Универсам				bus_stop			platform	node	"578216667"
29.9019875	59.8777345	"Разводная улица, угол бульвара Разведчиков"				bus_stop			platform	node	"578220334"
29.9012111	59.8768019	"Разводная улица, угол бульвара Разведчиков"				bus_stop			platform	node	"578220337"
29.9171875	59.8787832	"Константиновская улица, Николаевская больница"				bus_stop			platform	node	"578220343"
29.9193651	59.8706074	Эрлеровский бульвар				bus_stop			platform	node	"578229253"
30.4315469	59.7219906	шоссе Подбельского				bus_stop			platform	node	"581338166"
