X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	NETWORK	OPERATOR	REF	OSM_TYPE	OSM_ID
30.3691167	59.8841929				subway_entrance				node	"2087808237"
30.2615495	59.8796705				subway_entrance				node	"2112794338"
30.2617407	59.8798717				subway_entrance				node	"2112794353"
30.299056	59.9070882				subway_entrance				node	"2112824099"
30.3223184	59.8530239	Московская - 1			subway_entrance				node	"2124487499"
30.3224467	59.8497733	Московская - 2			subway_entrance				node	"2124487500"
30.4114001	59.9288559				subway_entrance				node	"2302967363"
30.2539909	59.8418797	Проспект Ветеранов - 1			subway_entrance				node	"2302983912"
30.2501653	59.8420155	Проспект Ветеранов - 2			subway_entrance				node	"2302983924"
30.268386	59.8516314	Ленинский проспект - 1		Ленинский проспект - 1	subway_entrance				node	"2303004112"
30.2683864	59.8497147	Ленинский проспект - 2			subway_entrance				node	"2303004120"
30.3197126	59.9268927				subway_entrance				node	"2526495851"
30.3195072	59.9268068				subway_entrance				node	"2526495862"
30.4236623	59.8965384				subway_entrance				node	"2856638101"
30.4237947	59.896585				subway_entrance				node	"2856638108"
30.2993809	59.9074031				subway_entrance				node	"3090777561"
30.379013	59.870308				subway_entrance				node	"3090858899"
30.3440494	59.9849194				subway_entrance				node	"3543391970"
30.2344226	59.9485254				subway_entrance				node	"3870045073"
30.2344369	59.9485494				subway_entrance				node	"3870045075"
30.2345074	59.9485843				subway_entrance				node	"3870045077"
30.3547858	59.9315835				subway_entrance				node	"4060185664"
30.3184604	59.9162567				subway_entrance				node	"4189476668"
30.31875	59.9166416				subway_entrance				node	"4189482980"
30.2593129	59.9716552				subway_entrance				node	"4486084294"
30.2595924	59.971888				subway_entrance				node	"4486084318"
30.3485946	59.9276292				subway_entrance				node	"5369186809"
30.3471105	59.970894				subway_entrance				node	"5385958208"
30.3150628	59.9360683				subway_entrance				node	"5464314991"
30.3151109	59.9360348				subway_entrance				node	"5464314995"
30.3150036	59.9361108				subway_entrance				node	"5464315008"
30.3962436	60.0127839				subway_entrance				node	"5590554594"
30.3338701	59.9340588				subway_entrance				node	"5628361759"
30.333254	59.9335859				subway_entrance				node	"5628361779"
30.3855497	59.9243485	Площадь Александра Невского 1			subway_entrance				node	"5628616544"
30.2119289	59.9727198	Зенит - 1			subway_entrance				node	"5638408166"
30.2118726	59.9712407	Зенит - 2			subway_entrance				node	"5638408167"
30.2030798	59.9882711				subway_entrance			"2"	node	"5647636715"
30.2022842	59.9883671				subway_entrance			"1"	node	"5647636717"
30.2117409	59.9712421				subway_entrance				node	"5654335817"
30.2119709	59.9712396				subway_entrance				node	"5654336034"
30.2117922	59.9727216				subway_entrance				node	"5654336065"
30.2120521	59.9727182				subway_entrance				node	"5654336086"
30.45751	59.8485708				subway_entrance				node	"5658583219"
30.327091	59.9354984	Невский проспект - 2			subway_entrance				node	"6190780853"
30.383724	59.9236282				subway_entrance				node	"6209016215"
30.3575333	59.8962727				subway_entrance				node	"6534342079"
30.3573389	59.8962673				subway_entrance				node	"6800533565"
30.397394	59.8547701	Проспект Славы - 2			subway_entrance				node	"6848736367"
30.3938611	59.8582157	Проспект Славы - 1			subway_entrance				node	"6848741005"
30.4116579	59.839319	Дунайская - 2			subway_entrance				node	"6851511621"
