X	Y	HIGHWAY	CROSSING	CROSSING_R	OSM_TYPE	OSM_ID
30.3146011	60.0440087	crossing	uncontrolled		node	"429798016"
30.3154676	60.0425333	crossing	uncontrolled		node	"429798017"
30.3195991	59.9708018	crossing	uncontrolled		node	"429920545"
30.5732287	59.8077818	crossing	uncontrolled		node	"431288753"
30.5763404	59.8088766	crossing	uncontrolled		node	"431386547"
30.5742032	59.8095469	crossing	uncontrolled		node	"431578332"
30.4759413	59.9372838	crossing	traffic_signals		node	"435798611"
30.4756944	59.9373021	crossing	traffic_signals		node	"435798622"
30.5617927	59.8100079	crossing	uncontrolled		node	"437052838"
30.4267809	59.9928968	crossing			node	"441522389"
30.3945653	60.000207	crossing	traffic_signals		node	"442529212"
30.3768229	60.0061616	crossing	uncontrolled		node	"444986437"
30.3755309	60.0063816	crossing	uncontrolled		node	"444986438"
30.3753635	60.0062219	crossing	uncontrolled		node	"444986442"
30.3446804	59.9578029	crossing	uncontrolled		node	"445713318"
30.3448727	59.9582517	crossing	uncontrolled		node	"445713322"
30.3441863	59.9581517	crossing	uncontrolled		node	"445713327"
30.364944	59.9991921	crossing	traffic_signals		node	"446219426"
30.3461654	59.9594614	crossing	uncontrolled		node	"447028858"
29.806325	60.1727044	crossing	uncontrolled		node	"447364662"
30.3495204	59.9920124	crossing	uncontrolled		node	"448542842"
30.474986	59.8598475	crossing	uncontrolled		node	"448938348"
30.6157871	59.7875165	crossing	uncontrolled		node	"455549764"
30.6162552	59.7904866	crossing			node	"456738070"
30.488546	59.9084069	crossing	unmarked		node	"472118716"
30.3534926	60.0134134	crossing	traffic_signals		node	"476872240"
30.3160708	59.9613968	crossing	traffic_signals		node	"477027527"
30.3146365	59.9628123	crossing	uncontrolled		node	"477027529"
29.810083	60.1837614	crossing	uncontrolled		node	"478229292"
30.3301587	59.844583	crossing	traffic_signals		node	"483403162"
30.3301828	59.84412	crossing	traffic_signals		node	"483403164"
30.3306525	59.8443141	crossing	traffic_signals		node	"483403167"
30.3300257	59.8468966	crossing	uncontrolled		node	"483572906"
30.3303086	59.8493516	crossing	traffic_signals		node	"483572925"
30.3298902	59.8492517	crossing	traffic_signals		node	"483572932"
30.3296248	59.8493412	crossing	traffic_signals		node	"483572955"
30.3056205	59.9571279	crossing	uncontrolled		node	"484175851"
30.3055283	59.9572399	crossing	uncontrolled		node	"484175852"
30.30571	59.9572269	crossing	uncontrolled		node	"484175853"
30.3477049	59.8335174	crossing	traffic_signals		node	"485652747"
30.3482252	59.8426308	crossing	traffic_signals		node	"485652973"
30.348429	59.8335804	crossing	traffic_signals		node	"485657426"
30.350988	59.8339264	crossing	traffic_signals		node	"485657431"
30.3573344	59.9550059	crossing	traffic_signals		node	"488472286"
30.3569158	59.954868	crossing	traffic_signals		node	"490085089"
