X	Y	BUILDING	ADDR_CITY	A_STRT	A_SBRB	A_HSNMBR	A_PLACE	A_PSTCD	B_LEVELS	NAME	NAME_EN	NAME_RU	OSM_TYPE	OSM_ID
30.3614769	59.929985	pavilion							"1"				node	"4179710948"
29.7814867	60.1803009	roof											node	"4225311527"
30.3390338	59.9357531	kiosk						"191011"		Теремок	Teremok	Теремок	node	"4275291293"
30.2612736	59.8663506	kiosk							"1"	Бабушкины пироги			node	"4308092863"
30.2612373	59.8664706	kiosk							"1"				node	"4308092866"
30.2611516	59.8673728	kiosk							"1"				node	"4308092881"
30.296953	60.0034901	kiosk							"1"	Теремок	Teremok	Теремок	node	"4315089008"
30.2611516	59.8673737	kiosk							"1"				node	"4322216213"
30.153553	59.9924782	temple								"Храм святителя Алексия, митрополита Московского"			node	"4339754833"
30.1542631	59.9954555	chapel		улица Красных Партизан		"6"				Мемориальная часовня			node	"4339959094"
30.1331456	60.0012523	chapel		Лесная улица		"62"				Часовня Троицы Живоначальной			node	"4340021690"
30.1450776	59.9917163	chapel		Лахтинский проспект		98 литЖ		"197229"		Домовая часовня-храм св. прмц. вел. кн. Елисаветы			node	"4340091389"
30.2090131	60.0098119	chapel								"Часовня святителя Луки, архиепископа Крымского"			node	"4340091489"
30.620012	59.7847452	school								Школа № 400			node	"4340729090"
30.318053	59.9562391	kiosk							"1"	ДТЗК			node	"4343693084"
29.7884873	59.99502	bunker								ДОТ КронУР			node	"4346215814"
30.4100907	60.0432849	yes	Санкт-Петербург	Тимуровская улица		26 к1				Отдел полиции № 63 Участковый пункт полиции № 31			node	"4350407180"
30.6118005	59.7519972	kiosk								Золушка		Золушка	node	"4373377592"
30.337617	60.055215	pavilion							"1"				node	"4395417352"
30.2888016	59.9189597	kiosk											node	"4503622934"
30.2979677	59.9079278	kiosk											node	"4553923281"
30.3352193	59.9229834	kiosk								Союзпечать			node	"4562035065"
30.4201161	60.0359946	kiosk							"1"				node	"4572200636"
30.3104914	59.923553	kiosk								Блины и кофе			node	"4609009938"
29.7587678	60.1870969	house	Зеленогорск	Спортивная улица		"9"			"1"				node	"4631423632"
30.4700528	59.8777081	church								храм Святителя Алексия Митрополита Московского			node	"4653451989"
30.3304024	59.9210934	kiosk								Etlon Coffee			node	"4685331660"
30.3315866	59.9216281	kiosk											node	"4685331661"
30.2793929	59.9169627	kiosk							"1"	Ника			node	"4698242223"
30.2977403	59.9074633	kiosk								Теремок	Teremok	Теремок	node	"4700292700"
29.8972666	60.1589602	detached		4-й проезд		"1"							node	"4705335633"
29.9020369	60.1592285	detached		6-й проезд		"4"							node	"4705335642"
29.9014119	60.1599862	detached		Средний проезд		"8"							node	"4705335643"
30.3081089	59.9147611	kiosk								Союзпечать			node	"4715929796"
30.2999335	59.9074344	kiosk								Курьер			node	"4729575550"
30.275783	59.9022261	kiosk								Теплый Кот			node	"4752415424"
30.2756931	59.9021737	kiosk								Союзпечать			node	"4752415425"
30.3186388	59.986299	yes	Санкт-Петербург	Сердобольская улица		64 литЯ							node	"4759353873"
30.3184243	59.9863366	yes	Санкт-Петербург	Сердобольская улица		64 литЦ							node	"4759353874"
29.9151231	59.8771967	kiosk								ПОЛЮС			node	"4911727540"
30.3451797	59.9428787	kiosk								Mouse Tail			node	"4927036332"
29.9147764	59.8793178	kiosk								Святослав			node	"4959132196"
30.3398493	59.9269764	kiosk								Кофе АЗС			node	"4959148415"
30.4069832	59.7180968	kiosk								Wake up!			node	"5029604942"
30.3905828	59.8600706	kiosk											node	"5034645483"
30.4097968	59.836677	church								храм святителя Игнатия Брянчанинова			node	"5191967141"
30.3483353	59.9358142	kiosk											node	"5234257939"
30.3341351	59.9341383	kiosk								Петротур			node	"5256044802"
30.3341523	59.9341689	kiosk								Davranov			node	"5256044803"
30.3337042	59.9342491	kiosk								Балтия Тур			node	"5256044804"
30.3308474	59.9346318	kiosk								Балтия Тур			node	"5256044805"
30.3308085	59.9345646	kiosk								Эклектика-гид			node	"5256044806"
30.3305389	59.9345619	kiosk								Davranov			node	"5256044807"
30.3596261	59.9463237	kiosk											node	"5324482361"
30.3584886	59.9438319	kiosk								Fenster			node	"5356963950"
30.3584021	59.9438329	kiosk											node	"5356963951"
30.3582941	59.9438354	kiosk											node	"5356963952"
30.3581428	59.9438391	kiosk											node	"5356963953"
30.3579889	59.9438399	kiosk											node	"5356963954"
30.3692841	59.9336653	kiosk								Табакрус			node	"5358659260"
30.3776546	59.9261859	kiosk											node	"5382495012"
30.2992201	60.0050408	pavilion							"1"				node	"5432358159"
30.2991115	60.0050355	pavilion							"1"				node	"5432358160"
30.3302935	59.934351	kiosk											node	"5550801959"
30.35972	59.94772	kiosk								Роспечать			node	"5566436553"
30.36973	59.9335259	kiosk											node	"5581521343"
30.3605466	59.9366212	kiosk								Pro Coffee			node	"5611461007"
30.3398213	59.9200035	kiosk								Sofi Coffee			node	"5780478091"
30.316734	59.9489346	kiosk											node	"5787626371"
30.2885462	59.9189566	kiosk								Пресса			node	"5830960924"
30.5195823	59.8347979	bunker											node	"5857022985"
30.3605581	60.0386091	yes		улица Руднева		1 к2				Мангал City			node	"6064730285"
30.2973776	60.0071697	yes	Санкт-Петербург	Коломяжский проспект		19 литА			"1"	CoffeeCube			node	"6106972335"
30.3572302	59.9206485	kiosk											node	"6133830657"
30.3537105	59.9193847	kiosk								Walkman Coffee			node	"6139424243"
30.3546105	59.9208539	kiosk											node	"6139489068"
30.3604697	59.931332	kiosk								Ежедневник			node	"6164724354"
30.3602504	59.9313623	kiosk											node	"6164724355"
30.3212813	59.9518182	yes											node	"6190749902"
30.3303201	59.9343738	kiosk								ДТЗК			node	"6226095920"
30.3304874	59.9345176	kiosk								Паритет плюс			node	"6226095921"
30.3304359	59.9344733	kiosk								Турсервис			node	"6226095922"
30.3167535	59.9697569	yes	Санкт-Петербург	проспект Медиков		3/5		"197376"	"5"	Конгресс-центр ЛПМ			node	"6258049945"
29.954382	60.0907185	yes		улица Токарева		"26"		"197706"					node	"6445357425"
29.9546023	60.0911809	yes		улица Токарева		"28"		"197706"					node	"6445357426"
30.2974974	60.0024292	kiosk							"1"	One price coffee			node	"6494911731"
30.2740735	59.8998281	kiosk								Coffee Like			node	"6536736713"
30.3878169	59.9221954	kiosk								Сыроварня Александро-Невской Лавры			node	"6643771006"
