WKT	FEE	NAME	NAME_EN	NAME_RU	PARKING	ACCESS	CAPACITY	OSM_TYPE	OSM_ID
"POLYGON ((30.4346827 59.895748,30.4352841 59.8953623,30.4353317 59.8953316,30.4350335 59.8952225,30.4347746 59.8951144,30.4346489 59.8951997,30.4346058 59.8952555,30.4345704 59.8952959,30.4346802 59.8953335,30.4346121 59.8953848,30.4345337 59.8954349,30.4344323 59.8954917,30.4343379 59.8954378,30.4342602 59.8954716,30.4341656 59.8955056,30.4340705 59.8955247,30.4346827 59.895748),(30.4348207 59.8955539,30.4347847 59.8955542,30.4347513 59.8955475,30.4347255 59.895535,30.4347112 59.8955184,30.4347106 59.8955004,30.4347238 59.8954836,30.4347489 59.8954706,30.4347819 59.8954635,30.4348179 59.8954632,30.4348513 59.8954698,30.4348771 59.8954824,30.4348914 59.8954989,30.434892 59.895517,30.4348787 59.8955338,30.4348537 59.8955467,30.4348207 59.8955539))"								relation	"1948712"
"POLYGON ((30.3560124 59.9930549,30.3550795 59.9926972,30.353926 59.9923067,30.353671 59.9924589,30.354447 59.9927449,30.3545161 59.9926984,30.3548249 59.9928055,30.3535343 59.9937139,30.3534694 59.9937044,30.3522332 59.9932503,30.3519794 59.9934211,30.3541362 59.9942031,30.3542211 59.9941503,30.3544693 59.993965,30.3546332 59.9938533,30.3560124 59.9930549),(30.3545664 59.993654,30.3542496 59.9938756,30.3541386 59.9938903,30.3537316 59.9937517,30.353715 59.9936879,30.3540464 59.9934614,30.354152 59.9934562,30.3545489 59.9935922,30.3545664 59.993654))"	no				surface	yes		relation	"1966451"
"POLYGON ((30.3132321 60.0147051,30.3143365 60.0148283,30.3146349 60.0141592,30.3148563 60.0136629,30.3140552 60.0135737,30.3139177 60.0135195,30.3136732 60.0134906,30.3136464 60.0135718,30.3134292 60.0141344,30.3133982 60.0142228,30.3133631 60.0143162,30.313272 60.0146162,30.3132321 60.0147051))"	yes				surface	yes		relation	"2045615"
"POLYGON ((30.2437102 59.9859797,30.2439542 59.9859714,30.2439814 59.986064,30.2442112 59.9860545,30.2441966 59.9859611,30.2446198 59.9859445,30.2446344 59.986038,30.2450483 59.9860222,30.2450059 59.9859916,30.24499 59.9859552,30.2450032 59.9859186,30.2450215 59.9859044,30.244951 59.9853196,30.2452512 59.9853106,30.2452852 59.9853124,30.245277 59.9852579,30.2461522 59.9852349,30.2467306 59.9852197,30.246687 59.9848858,30.246589 59.9848886,30.2466193 59.9851516,30.2464503 59.9851565,30.2454578 59.9851851,30.2454518 59.9851331,30.2450541 59.9851446,30.2450122 59.9847812,30.2465714 59.9847362,30.2465866 59.9848681,30.2466815 59.984864,30.246657 59.9846555,30.2465399 59.9846582,30.2465371 59.9846037,30.2435809 59.9846855,30.2437102 59.9859797),(30.2439531 59.9857346,30.2438976 59.9852505,30.2438254 59.9852526,30.2437735 59.9848001,30.2446891 59.9847738,30.2447965 59.9857104,30.2439531 59.9857346))"	no				surface	yes		relation	"2051909"
"POLYGON ((30.369209 60.0014127,30.3691959 60.0013932,30.3700242 60.0012568,30.3700371 60.001276,30.3708097 60.0011442,30.3706078 60.000845,30.3694602 60.0010425,30.367616 60.0013485,30.3678024 60.0016407,30.369209 60.0014127))"	yes				surface			relation	"2069245"
"POLYGON ((30.3328089 60.0116088,30.3328555 60.0116145,30.3328946 60.0116193,30.3329628 60.0114551,30.3314332 60.0112797,30.331353 60.0114429,30.3328089 60.0116088))"					surface			relation	"2073635"
"POLYGON ((30.327823 60.0108598,30.3276835 60.0108445,30.3270889 60.0107812,30.3269701 60.0107685,30.3269482 60.0108227,30.3269291 60.0108647,30.3277094 60.0109526,30.3277829 60.0109586,30.327823 60.0108598))"					surface	private		relation	"2073650"
"POLYGON ((30.2548293 60.0086385,30.2548705 60.0086484,30.2549173 60.0086611,30.2558468 60.0089143,30.2564304 60.008424,30.2564644 60.0083954,30.2564849 60.0083777,30.2565219 60.0083457,30.256013 60.0081947,30.2554457 60.0082655,30.2548988 60.0083338,30.2544604 60.0083885,30.2545833 60.0085794,30.2548293 60.0086385))"	yes				lane	private		relation	"2077369"
"POLYGON ((30.3407756 60.0486431,30.3403809 60.0487298,30.3401947 60.0487707,30.3402656 60.048851,30.3413731 60.0486343,30.3405064 60.0475564,30.3393871 60.0477825,30.3396841 60.0481575,30.3399718 60.0481792,30.3399833 60.0482204,30.3400684 60.0482215,30.3404023 60.0482472,30.3406113 60.048491,30.3406573 60.0484825,30.3407756 60.0486431))"								relation	"2109529"
"POLYGON ((30.3807444 60.0348444,30.3814029 60.034715,30.3813691 60.0346642,30.3812957 60.0345626,30.3812565 60.0345083,30.3805797 60.034637,30.3806654 60.0347449,30.3807444 60.0348444))"								relation	"2171026"
"POLYGON ((30.3309142 60.0273075,30.3307284 60.02724,30.3306186 60.0272136,30.330464 60.0272197,30.3302525 60.0272665,30.3300573 60.0273559,30.329919 60.0274656,30.3298376 60.0275814,30.3297847 60.0278111,30.3298962 60.0278209,30.3299029 60.0277697,30.329954 60.0277733,30.330123 60.027785,30.3301697 60.0276505,30.3305252 60.0273536,30.3308467 60.0274534,30.3309076 60.0274047,30.3310025 60.0273341,30.3309142 60.0273075))"					underground	private		relation	"2175683"
"POLYGON ((30.3077481 60.0176429,30.3079301 60.0176599,30.3089653 60.0179102,30.3092175 60.0179289,30.3097217 60.0178968,30.3103089 60.0179289,30.3103397 60.0178629,30.3085813 60.0176737,30.3085184 60.0176241,30.3083265 60.0176689,30.3080791 60.0174451,30.3081644 60.0172202,30.3080023 60.0172,30.3079832 60.0171797,30.3080962 60.0169437,30.3081303 60.0169256,30.3082796 60.0169426,30.3083137 60.0169277,30.3083329 60.0168946,30.3084992 60.0168254,30.3085035 60.0168094,30.3084139 60.0167572,30.3084161 60.0167273,30.3087882 60.0165744,30.3088309 60.0165786,30.3089396 60.0166522,30.3090527 60.0166085,30.3093107 60.016633,30.3093406 60.0165733,30.3093853 60.0165573,30.309701 60.0165888,30.3105348 60.0166794,30.3105839 60.0166975,30.3105881 60.0167241,30.3105689 60.0167657,30.3109123 60.0168009,30.3109656 60.016673,30.310908 60.0166271,30.3109482 60.0165282,30.3109028 60.0165233,30.3079474 60.0162026,30.3077829 60.0162466,30.3077614 60.0162829,30.3070467 60.0174912,30.3070394 60.0175743,30.307643 60.0176331,30.3077481 60.0176429),(30.3077672 60.017589,30.3076624 60.0175774,30.3077421 60.017397,30.3078469 60.0174085,30.3077672 60.017589),(30.307714 60.0173688,30.3077492 60.0172891,30.307851 60.0173003,30.3078875 60.0173044,30.3078523 60.0173841,30.307714 60.0173688))"					surface	private		relation	"2177012"
"POLYGON ((29.8353379 59.8790511,29.8353225 59.8791053,29.8355887 59.8790981,29.8357648 59.8790677,29.8360103 59.879004,29.8361383 59.8789667,29.8361955 59.878917,29.836072 59.8788719,29.8359076 59.8789289,29.8357566 59.8789621,29.8353379 59.8790511))"								relation	"2206441"
"POLYGON ((30.4399188 59.7033138,30.4404494 59.7034454,30.440482 59.7033502,30.44004 59.7032404,30.4398877 59.7032104,30.4399188 59.7033138))"								relation	"2245308"
"POLYGON ((29.7710615 59.912541,29.7710386 59.9124142,29.7710306 59.9123503,29.770447 59.9123793,29.7704869 59.91257,29.7710615 59.912541))"	yes							relation	"2297668"
"POLYGON ((29.8308139 59.8813229,29.830767 59.8812713,29.8299788 59.8814494,29.829191 59.8816272,29.8291988 59.8816835,29.8308139 59.8813229))"								relation	"2307233"
"POLYGON ((30.3813204 59.8286039,30.3808551 59.8285407,30.3806582 59.8288281,30.3815168 59.8289926,30.3817775 59.8287422,30.3815236 59.8286432,30.3813204 59.8286039))"	no				surface			relation	"2362647"
"POLYGON ((30.326615 59.9925545,30.3265782 59.9925934,30.3268892 59.9926563,30.3269243 59.992616,30.326615 59.9925545))"								relation	"2379851"
"POLYGON ((30.1908107 59.9874764,30.1904514 59.9879792,30.1898212 59.9888611,30.1897671 59.9889273,30.1898671 59.9889431,30.1899151 59.9888804,30.1909851 59.9874585,30.1908432 59.9874339,30.1908107 59.9874764))"						private		relation	"2389125"
"POLYGON ((30.4087065 59.9557979,30.4086546 59.9558793,30.4085632 59.9558816,30.4085647 59.955916,30.4084497 59.9559186,30.4085126 59.9564619,30.4086336 59.956459,30.4088233 59.9564529,30.408814 59.9564076,30.4091839 59.9564017,30.4091348 59.9557815,30.4087065 59.9557979))"					surface	private		relation	"2429456"
"POLYGON ((29.838473 59.8750892,29.8385799 59.8751961,29.8390315 59.8750919,29.8389333 59.8749782,29.838473 59.8750892))"					surface			relation	"2446651"
"POLYGON ((30.3988427 59.7983463,30.3993882 59.7980611,30.3993603 59.7980433,30.3986804 59.7979207,30.3985256 59.7978978,30.3984115 59.7979042,30.398343 59.7979297,30.398277 59.7979654,30.3982466 59.7980114,30.3982351 59.7980597,30.3982424 59.7980931,30.3983014 59.7981255,30.3983278 59.7981123,30.3988427 59.7983463))"								relation	"2502300"
"POLYGON ((30.4713783 59.866705,30.4710803 59.8667837,30.4718928 59.8675738,30.4721948 59.8674897,30.4718425 59.8671526,30.4713783 59.866705))"						customers		relation	"2529456"
"POLYGON ((30.4718393 59.8663081,30.472087 59.866252,30.471881 59.8660521,30.4718281 59.866066,30.4718023 59.8660436,30.4717842 59.866027,30.4718057 59.8660212,30.4718268 59.8660159,30.4718385 59.8660127,30.4716657 59.8658343,30.4716324 59.8658,30.4714691 59.8658418,30.4714282 59.8658016,30.4713568 59.8658199,30.471387 59.8658496,30.4704679 59.8660847,30.4706519 59.8662661,30.4707222 59.8662501,30.4707595 59.8662873,30.47078 59.8663076,30.4708635 59.8663907,30.4715089 59.8662211,30.4714883 59.8661988,30.4716829 59.8661465,30.4717297 59.8661872,30.4717081 59.8661933,30.4718393 59.8663081))"						private		relation	"2535434"
"POLYGON ((30.4707664 59.8656902,30.4706794 59.8656099,30.4703177 59.8657116,30.4703982 59.8657869,30.4707664 59.8656902))"						private		relation	"2535435"
"POLYGON ((30.4708829 59.864233,30.4707026 59.8642796,30.4706703 59.8642481,30.4703912 59.8643203,30.4705152 59.8644426,30.4705804 59.8644595,30.4706296 59.8644584,30.4710125 59.8643593,30.4708829 59.864233))"	no				surface	yes		relation	"2535436"
"POLYGON ((30.4706963 59.8654153,30.4709105 59.8655498,30.4709725 59.8655411,30.4710008 59.8655434,30.4710165 59.8655523,30.4710791 59.8656066,30.4711849 59.8655778,30.4709085 59.865303,30.4708254 59.8652943,30.470789 59.8652906,30.470752 59.8653423,30.4707141 59.8653355,30.4706911 59.8653621,30.4706536 59.8653899,30.4706963 59.8654153))"						private		relation	"2535437"
"POLYGON ((30.3136407 59.9781731,30.3136275 59.9780238,30.313726 59.9779778,30.3137411 59.9779261,30.3136941 59.9778812,30.3135507 59.9778471,30.3134114 59.9778506,30.3133293 59.9778919,30.313366 59.9783624,30.3134282 59.978362,30.3134315 59.9784021,30.3135373 59.9784005,30.3136561 59.9783988,30.3136407 59.9781731))"		Авеню			multi-storey			relation	"2536535"
"POLYGON ((30.4999865 59.8868854,30.4999635 59.8869057,30.4999102 59.8869028,30.4996801 59.8872093,30.4983999 59.8888288,30.4992568 59.8889831,30.5004738 59.8877316,30.500528693835 59.8877211755944,30.5009350279734 59.8870746058161,30.5008758 59.8869957,30.5004006 59.8868522,30.5001192 59.8868675,30.5000175 59.886858,30.4999865 59.8868854))"								relation	"2539137"
"POLYGON ((30.429837 59.9667796,30.4298847 59.966754,30.4299633 59.9667119,30.4303266 59.9665169,30.4302023 59.9664745,30.430074 59.9664307,30.4298732 59.9665722,30.429634 59.9666945,30.42951 59.9667696,30.4296478 59.9668335,30.4297905 59.9667604,30.429837 59.9667796))"					surface			relation	"2654183"
"POLYGON ((29.9392342 60.0936122,29.9403414 60.094428,29.9413724 60.0940801,29.9403841 60.0933519,29.9402653 60.0932643,29.9392342 60.0936122))"	no				surface	yes		relation	"2678699"
"POLYGON ((30.495076 59.8353465,30.4952253 59.835473,30.4954483 59.8356836,30.4955288 59.8356632,30.495772 59.8356014,30.4958044 59.8354965,30.4958368 59.8354026,30.4958278 59.8353592,30.4957954 59.8353203,30.4956282 59.8351793,30.4955214 59.8352117,30.495076 59.8353465))"								relation	"2683126"
"POLYGON ((30.3653246 59.9708401,30.365014 59.9714884,30.3649848 59.9715466,30.3653704 59.9716157,30.3653918 59.9715825,30.3656408 59.9712553,30.3657529 59.971059,30.3658368 59.9709121,30.3655832 59.9708758,30.3653246 59.9708401))"						customers		relation	"2717188"
"POLYGON ((30.2777866 59.9246151,30.2778747 59.9245879,30.2780117 59.9244634,30.2775603 59.9243404,30.2773694 59.9245027,30.2777866 59.9246151))"					surface			relation	"2780313"
"POLYGON ((29.9913979 59.8597744,29.9914841 59.8599186,29.9919875 59.8598391,29.9919016 59.8596989,29.9913979 59.8597744))"	no				surface	customers		relation	"2791309"
